NOME;EMAIL;TELEFONE ;USUARIO;SENHA ;DATANASCIMENTO;MATRICULA;CONTACORRENTE
Zhongwei;rosen.zhongwei@acme.com;(11) 97434-5043;505;12425;1986-10-30;81;991967
Parviz;lortz.parviz@acme.com;(11) 97434-5044;393;12426;1990-01-03;82;991968
Vishv;zockler.vishv@acme.com;(11) 97434-5045;128;12427;1987-03-31;83;991969
Tuval;kalloufi.tuval@acme.com;(11) 97434-5046;708;12428;1995-12-15;84;991970
Kenroku;malabarba.kenroku@acme.com;(11) 97434-5047;833;12429;1994-04-09;85;991971
Somnath;foote.somnath@acme.com;(11) 97434-5048;793;12430;1990-02-16;86;991972
Xinglin;eugenio.xinglin@acme.com;(11) 97434-5049;616;12431;1986-09-08;87;991973
Jungsoon;syrzycki.jungsoon@acme.com;(11) 97434-5050;864;12432;1988-09-02;88;991974
Sudharsan;flasterstein.sudharsan@acme.com;(11) 97434-5051;231;12433;1986-08-12;89;991975
Kendra;hofting.kendra@acme.com;(11) 97434-5052;158;12434;1986-03-14;90;991976
Amabile;gomatam.amabile@acme.com;(11) 97434-5053;855;12435;1992-11-18;91;991977
Valdiodio;niizuma.valdiodio@acme.com;(11) 97434-5054;526;12436;1989-09-22;92;991978
Sailaja;desikan.sailaja@acme.com;(11) 97434-5055;739;12437;1996-11-05;93;991979
Arumugam;ossenbruggen.arumugam@acme.com;(11) 97434-5056;836;12438;1987-04-18;94;991980
Hilari;morton.hilari@acme.com;(11) 97434-5057;28;12439;1986-07-15;95;991981
Jayson;mandell.jayson@acme.com;(11) 97434-5058;495;12440;1990-01-14;96;991982
Remzi;waschkowski.remzi@acme.com;(11) 97434-5059;222;12441;1990-09-15;97;991983
Sreekrishna;servieres.sreekrishna@acme.com;(11) 97434-5060;401;12442;1985-05-13;98;991984
Valter;sullins.valter@acme.com;(11) 97434-5061;611;12443;1988-10-18;99;991985
Hironobu;haraldson.hironobu@acme.com;(11) 97434-5062;309;12444;1987-09-21;100;991986
